state_200,female_18_59_200,male_18_59_200,female_5_17_200,male_5_17_200,female_greater_than_60_200,male_greater_than_60_200,female_less_than_5_200,male_less_than_5_200,alaska native alone_200,american indian alone_200,"american indian and alaska native tribes specified; or american indian or alaska native, not specified and no other races_200",asian alone_200,black or african american alone_200,native hawaiian and other pacific islander alone_200,some other race alone_200,two or more races_200,white alone_200,not spanish/hispanic/latino_200,spanish/hispanic/latino_200,asian and pacific island languages_200,english only_200,n/a (gq/vacant)_200,other indo-european languages_200,other language_200,spanish_200
01,492476,376222,174136,183459,226559,141464,70140,73030,280.0,6649.0,1752.0,18742.0,648926.0,577.0,54004.0,65902.0,940654.0,1613820,123666,15621,1566059,9752,16547,9458,120049
02,46683,46143,17495,20377,16096,14202,9414,7892,41265.0,1127.0,3518.0,12926.0,7809.0,5980.0,3276.0,16982.0,85419.0,163677,14625,16470,117004,3951,3660,27660,9557
04,593954,514477,247036,250715,249963,182298,91440,93537,356.0,157245.0,9402.0,53029.0,123526.0,4643.0,207898.0,277768.0,1389553.0,1236003,987417,49804,1140637,17842,46424,141840,826873
05,308201,254009,119659,122883,137494,96751,47716,50006,13.0,5783.0,1186.0,13130.0,245521.0,6832.0,52015.0,66648.0,745591.0,1011927,124792,16024,989606,5546,11631,3608,110304
06,3094871,2707369,1208346,1254487,1185857,864269,411781,431188,574.0,98340.0,30051.0,1229003.0,786718.0,44481.0,2547771.0,1214937.0,5206293.0,5048904,6109264,1071671,3748231,163202,506538,190843,5477683
08,377028,337107,133357,135993,145826,103215,49404,50814,164.0,15306.0,4426.0,38814.0,83018.0,2014.0,94794.0,146004.0,948204.0,870325,462419,34142,895106,10581,40789,30815,321311
09,220482,177200,79590,81590,106788,68102,26689,27746,,2795.0,1489.0,32993.0,136056.0,516.0,105760.0,66721.0,441857.0,527817,260370,21343,440453,13233,66550,15448,231160
10,68640,54755,26393,26257,31813,19907,10397,11317,,972.0,216.0,7590.0,77777.0,74.0,12725.0,16575.0,133550.0,207593,41886,6804,183128,1727,12401,4082,41337
11,51920,39736,16846,15941,18470,13239,7319,6851,,969.0,131.0,5301.0,123637.0,25.0,11894.0,6033.0,22332.0,152092,18230,4069,127026,6905,5703,7480,19139
12,1829440,1516013,636852,665639,974311,690387,244868,253388,101.0,16882.0,5571.0,159232.0,1504575.0,3635.0,389858.0,709081.0,4021963.0,4549456,2261442,121295,3808009,58062,541340,78928,2203264
13,953955,737511,382482,393638,362818,240753,143506,149378,79.0,14328.0,4860.0,110057.0,1377247.0,4517.0,174789.0,185160.0,1493004.0,2867805,496236,91148,2604575,15565,94360,64109,494284
15,81866,69823,28844,30622,41685,31526,13533,14126,78.0,1012.0,233.0,87762.0,5503.0,59477.0,6729.0,80821.0,70410.0,266794,45231,107745,167674,8642,6210,7653,14101
16,152977,131535,64064,66565,57695,43499,24445,26189,164.0,7770.0,2767.0,7551.0,6378.0,1152.0,35888.0,38582.0,466717.0,459878,107091,8738,442715,3243,10988,8724,92561
17,952552,768435,360073,376047,411002,273101,136867,135058,367.0,10191.0,5126.0,150584.0,796478.0,2177.0,337803.0,239325.0,1871084.0,2547210,865925,101326,2187225,31361,199896,81657,811670
18,553558,437412,213363,221897,229331,147906,83949,90170,35.0,3986.0,1492.0,50755.0,305369.0,778.0,76917.0,118297.0,1419957.0,1755480,222106,42778,1646097,12691,62771,22107,191142
19,230817,190656,84193,91191,107473,71101,33928,36069,,3193.0,1268.0,25138.0,66319.0,2477.0,20876.0,49909.0,676248.0,756106,89322,24242,688480,8822,25788,22007,76089
20,228177,190170,89891,93699,91979,62362,34160,38582,5.0,6600.0,1021.0,24207.0,72880.0,526.0,44917.0,74511.0,604353.0,663541,165479,21313,640434,5458,16859,12926,132030
21,427392,362154,149417,159437,194078,130015,61257,64329,75.0,2715.0,689.0,21523.0,170289.0,1664.0,28060.0,75299.0,1247765.0,1462903,85176,18466,1377223,12293,37153,20701,82243
22,500820,377466,181733,191965,209649,141971,71445,75536,18.0,7575.0,2579.0,26512.0,804049.0,412.0,40853.0,73195.0,795392.0,1638815,111770,23048,1531059,9943,62298,14780,109457
23,98916,82895,28386,32703,60498,44733,10716,12584,,3361.0,237.0,4786.0,10712.0,12.0,1929.0,14987.0,335407.0,364749,6682,4230,326296,5032,23001,7422,5450
24,356553,275349,131593,141343,157458,100679,50903,54236,,3029.0,2255.0,71059.0,489345.0,302.0,132948.0,71118.0,498058.0,1051560,216554,49571,851350,14173,80597,58663,213760
25,414751,329873,127238,134844,224156,140627,44418,47671,,3779.0,1954.0,103836.0,169286.0,628.0,140004.0,140439.0,903652.0,1090387,373191,87176,774595,24838,189642,50209,337118
26,832391,687190,300596,313060,366419,250366,119985,122299,29.0,16397.0,4042.0,70124.0,670843.0,936.0,65227.0,180784.0,1983924.0,2762409,229897,45218,2466320,33249,111013,162250,174256
27,340408,283186,128359,136418,161516,109299,49892,50361,45.0,23438.0,4969.0,77216.0,186958.0,637.0,53193.0,81178.0,831805.0,1128472,130967,74702,894507,23267,37549,119044,110370
28,337476,251689,126140,130690,142603,97303,46826,49054,23.0,6811.0,923.0,9770.0,615230.0,449.0,20157.0,30979.0,497439.0,1132558,49223,8700,1100279,5388,10726,8534,48154
29,505427,411389,187567,196554,231601,156804,74439,77919,155.0,6392.0,2614.0,29713.0,322593.0,3768.0,35634.0,101691.0,1339140.0,1730873,110827,29387,1636345,15471,45355,21139,94003
30,86238,80555,30523,31610,42743,33805,11289,13409,61.0,35510.0,2334.0,3554.0,2299.0,307.0,4417.0,19097.0,262593.0,313565,16607,3703,293844,6385,7958,8721,9561
31,138705,113884,55420,60097,59034,40064,22743,24812,19.0,7673.0,1436.0,16079.0,41172.0,337.0,25713.0,42433.0,379897.0,413865,100894,13326,382347,4050,14588,14490,85958
32,258733,223923,101675,107814,98785,81903,36920,40178,117.0,13776.0,1831.0,59278.0,126074.0,7611.0,162734.0,106942.0,471568.0,576225,373706,59468,503753,4906,26993,19044,335767
33,68632,53358,20131,21530,42048,28408,7335,7780,,257.0,163.0,7157.0,7156.0,185.0,3102.0,10943.0,220259.0,233577,15645,4452,210739,3124,13255,3787,13865
34,535375,434369,207153,218890,270913,166174,76527,86148,46.0,5824.0,3265.0,121615.0,406753.0,592.0,287742.0,177836.0,991876.0,1270895,724654,76008,939583,24951,186565,70350,698092
35,220955,191124,84562,89226,95456,70748,31620,34636,155.0,107771.0,4318.0,9349.0,18813.0,702.0,98186.0,110348.0,468685.0,353415,464912,7846,371262,5744,8451,90156,334868
36,1555404,1268838,546646,571528,762089,484935,208534,223456,156.0,26949.0,11352.0,552122.0,1118606.0,3781.0,852420.0,398198.0,2657846.0,4029395,1592035,377501,2789651,111649,708659,180505,1453465
37,915056,739084,338475,351313,404312,269356,129792,133537,168.0,47456.0,7846.0,73333.0,949624.0,2538.0,212989.0,195947.0,1791024.0,2747945,532980,60725,2558985,22267,62376,39891,536681
38,48053,48362,18393,16517,22942,15288,7781,8366,,16385.0,3344.0,3713.0,11591.0,99.0,3695.0,11096.0,135779.0,171553,14149,1670,153056,2566,8166,9049,11195
39,959993,759540,356111,370485,436220,284015,142762,151505,68.0,5708.0,3166.0,66770.0,724456.0,2436.0,69179.0,214860.0,2373988.0,3243888,216743,46035,2985562,28869,138107,82936,179122
40,377763,321825,150730,160569,145567,99328,61111,62762,194.0,122810.0,7312.0,28672.0,138854.0,2061.0,63120.0,163051.0,853581.0,1152593,227062,27647,1111293,8294,19142,20067,193212
41,335486,297049,106783,114686,150797,107530,39322,41912,424.0,14007.0,3251.0,44286.0,33356.0,5945.0,67986.0,108370.0,915940.0,949868,243697,44780,854123,22259,42711,20785,208907
42,922759,734624,338721,345914,501302,320099,130075,134733,47.0,5692.0,3593.0,125818.0,630809.0,1480.0,196183.0,206170.0,2258435.0,2939755,488472,103049,2604725,43685,190407,61267,425094
44,74814,59382,23514,23323,40486,24766,9500,8402,23.0,1230.0,741.0,8242.0,25778.0,451.0,34514.0,25443.0,167765.0,180382,83805,8032,145625,3264,23199,5340,78727
45,465925,362699,171586,176435,215034,148356,64740,69693,,6956.0,1425.0,23147.0,647819.0,1258.0,59915.0,78687.0,855261.0,1526424,148044,21834,1455027,8114,31710,8281,149502
46,63010,56266,25944,25604,29369,21740,10640,11428,,39966.0,8790.0,4137.0,10173.0,189.0,3461.0,13069.0,164216.0,226119,17882,2403,199809,6893,7207,16690,10999
47,627764,508023,231017,240036,271133,184117,89723,94593,116.0,4113.0,2685.0,30540.0,515820.0,1542.0,67979.0,105596.0,1518015.0,2039136,207270,25048,1929431,11927,37790,41930,200280
48,2598112,2114571,1115975,1171162,851708,605104,423940,450234,377.0,37203.0,19697.0,314023.0,1359918.0,8668.0,972201.0,1240020.0,5378699.0,4190353,5140453,240535,4040713,43195,196937,165659,4643767
49,221997,192095,96036,99282,57634,40291,39866,41340,231.0,12752.0,1375.0,20037.0,17258.0,11155.0,69755.0,53320.0,602658.0,611097,177444,29770,537442,6424,26924,18816,169165
50,45523,38279,13332,14461,25106,18971,4191,4336,15.0,449.0,55.0,3563.0,3361.0,,1061.0,6716.0,148979.0,160463,3736,2468,144525,2506,9661,793,4246
51,564778,444286,195381,206133,241992,160243,80063,81455,116.0,5249.0,1764.0,94287.0,564449.0,1551.0,106710.0,127653.0,1072552.0,1700270,274061,65687,1473523,12853,84689,69449,268130
53,498500,425674,179022,186159,204487,144125,68057,73170,1687.0,30490.0,5126.0,121590.0,103557.0,13670.0,166677.0,183255.0,1153142.0,1371153,408041,120500,1127140,25946,91789,59549,354270
54,180177,150831,58920,58849,92800,65493,23108,23041,,744.0,324.0,3891.0,27295.0,434.0,4188.0,25814.0,590529.0,642224,10995,4307,625506,3339,5835,3177,11055
55,400975,318946,148023,152510,196925,132850,57529,57360,122.0,16211.0,2276.0,48873.0,197474.0,639.0,61068.0,92508.0,1045947.0,1279210,185908,40098,1186358,16023,47342,14296,161001
56,41202,35346,13528,16376,17054,13093,6578,6590,77.0,5890.0,387.0,1594.0,2279.0,85.0,4377.0,8803.0,126275.0,128156,21611,2038,129217,1091,2249,1942,13230
