Year,state,Female_18_59,Male_18_59,Female_5_17,Male_5_17,Female_greater_than_60,Male_greater_than_60,Female_less_than_5,Male_less_than_5,Alaska Native alone,American Indian alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,White alone,Not Spanish/Hispanic/Latino,Spanish/Hispanic/Latino,Asian and Pacific Island languages,English Only,N/A (GQ/vacant),Other Indo-European languages,Other Language,Spanish,With a disability,Without a disability,total_pop,indian_area,state_area,Percent_Tribal_Land,Income_Limit,state_name,Pop2010_Rural,TractSNAP_Rural,Pop2010_Urban,TractSNAP_Urban
2018,10,71889,57442,29103,26734,31269,19345,11020,10712,,1108.0,101.0,9622.0,86532.0,,9995.0,9696.0,140460.0,220084,37430,6426,201415,1954,13033,999,33687,46198,211316,949495,0.0079102413134999,0.5415900729185084,0.014605587711151,200,Delaware,201901.0,9929.0,696033.0,31705.0
2019,10,67071,50506,21353,24032,30851,18190,9775,11727,,1368.0,84.0,6005.0,72549.0,191.0,9968.0,8067.0,135273.0,187092,46413,4713,170879,2221,8585,2864,44243,42359,191146,957248,0.0079102413134999,0.5415900729185084,0.014605587711151,200,Delaware,201901.0,9929.0,696033.0,31705.0
2021,10,65187,50824,26051,25982,35628,23541,9611,10062,,999.0,567.0,7214.0,67967.0,,22024.0,34968.0,113147.0,203207,43679,7435,173384,1990,12590,6346,45141,45238,201648,981892,0.0079102413134999,0.5415900729185084,0.014605587711151,200,Delaware,201901.0,9929.0,696033.0,31705.0
2018,11,56839,39835,17432,16233,21782,15120,8494,7848,,807.0,,3893.0,135481.0,,9622.0,3908.0,29872.0,162873,20710,4281,134752,8070,5320,11838,19322,41629,141954,684498,,0.0183735483099987,,200,District of Columbia,,,601723.0,39043.0
2019,11,53912,40985,15433,13794,19067,14532,6646,8026,,1111.0,177.0,4394.0,125156.0,,13027.0,3670.0,24860.0,152245,20150,3816,130603,7108,4882,6721,19265,39647,132748,692683,,0.0183735483099987,,200,District of Columbia,,,601723.0,39043.0
2021,11,47720,37290,16780,14671,19315,13578,4384,5585,,538.0,103.0,6391.0,112893.0,,10101.0,10001.0,19296.0,145470,13853,4394,120618,6682,4957,6854,15818,32390,126933,683154,,0.0183735483099987,,200,District of Columbia,,,601723.0,39043.0
2018,12,1872671,1544402,644323,679193,1014820,696948,267322,258465,44.0,14308.0,6118.0,171781.0,1559029.0,4485.0,346097.0,211788.0,4664494.0,4628200,2349944,138114,3870533,61264,518292,78369,2311572,1205821,5772323,20598139,0.0650560969889325,13.934848389875588,0.0046685902256532,200,Florida,2390637.0,120857.0,16410673.0,959909.0
2019,12,1800049,1506507,630103,674886,974879,669822,250653,251649,172.0,17992.0,5329.0,171820.0,1517412.0,5218.0,329078.0,228418.0,4483109.0,4481064,2277484,135812,3733759,62999,533669,80804,2211505,1211748,5546800,20901636,0.0650560969889325,13.934848389875588,0.0046685902256532,200,Florida,2390637.0,120857.0,16410673.0,959909.0
2021,12,1764484,1447495,619032,637496,1015735,729663,222398,233643,54.0,26709.0,5539.0,145481.0,1411437.0,2902.0,609512.0,1487338.0,2980974.0,4436451,2233495,107713,3681532,55513,557913,85433,2181842,1185462,5484484,21339762,0.0650560969889325,13.934848389875588,0.0046685902256532,200,Florida,2390637.0,120857.0,16410673.0,959909.0
2018,15,80958,70764,31008,29086,40112,32702,14077,14903,,853.0,318.0,86941.0,4577.0,55960.0,5659.0,83762.0,75540.0,268478,45132,104472,168212,10007,6955,5436,18528,50455,263155,1422029,0.0728843730082102,1.4482632859849942,0.050325361219552,200,Hawaii,221521.0,12218.0,1138780.0,38679.0
2019,15,76750,65437,25602,27429,41588,26181,11634,13334,,1665.0,55.0,93481.0,4214.0,54156.0,5260.0,68694.0,60430.0,250296,37659,117845,137551,8703,7572,8295,7989,49595,238360,1422094,0.0728843730082102,1.4482632859849942,0.050325361219552,200,Hawaii,221521.0,12218.0,1138780.0,38679.0
2021,15,81138,78646,28278,31293,46765,34354,11789,11714,,1671.0,159.0,93487.0,8170.0,54204.0,9250.0,86179.0,70857.0,278891,45086,98293,188340,8416,8409,6584,13935,54145,269832,1453498,0.0728843730082102,1.4482632859849942,0.050325361219552,200,Hawaii,221521.0,12218.0,1138780.0,38679.0
2018,21,435694,370011,146507,158727,200651,129782,65727,65182,,2696.0,754.0,23327.0,174017.0,2421.0,31504.0,44457.0,1293105.0,1489081,83200,18489,1397375,14697,35892,23318,82510,393961,1178320,4440204,,10.667940358170991,,200,Kentucky,2080340.0,137794.0,2259027.0,124379.0
2019,21,413639,359067,140876,145328,192885,131427,59061,66338,,2090.0,728.0,18958.0,167129.0,880.0,22938.0,49219.0,1246679.0,1432193,76428,18959,1342960,12796,31187,23257,79462,392230,1116391,4449052,,10.667940358170991,,200,Kentucky,2080340.0,137794.0,2259027.0,124379.0
2021,21,413463,345149,152230,156969,201657,139404,60757,59448,596.0,3806.0,679.0,20829.0,140503.0,1930.0,32161.0,133168.0,1195405.0,1436278,92799,18283,1362905,11053,39028,14536,83272,393871,1135206,4494141,,10.667940358170991,,200,Kentucky,2080340.0,137794.0,2259027.0,124379.0
2018,24,349059,267966,129103,132214,158652,95066,48936,55285,,1879.0,1081.0,62259.0,481816.0,582.0,122857.0,42119.0,523688.0,1016933,219348,42502,839550,15188,70055,59129,209857,221212,1015069,6003435,,2.772298357989518,,200,Maryland,866465.0,25858.0,4907087.0,206232.0
2019,24,346743,270597,129577,145167,162156,96653,50699,55359,,3200.0,2490.0,67388.0,503145.0,,115688.0,48980.0,516060.0,1053175,203776,42562,846744,15321,94290,56997,201037,236386,1020565,6018848,,2.772298357989518,,200,Maryland,866465.0,25858.0,4907087.0,206232.0
2021,24,365411,278833,142007,147365,160767,109211,53522,50754,,4391.0,4809.0,73506.0,489935.0,100.0,173779.0,104513.0,456837.0,1071187,236683,49933,868011,12459,85411,59799,232257,235538,1072332,6148545,,2.772298357989518,,200,Maryland,866465.0,25858.0,4907087.0,206232.0
2018,25,432671,338041,128774,142300,230552,143556,43577,51132,,3341.0,4058.0,106759.0,197974.0,647.0,146220.0,63464.0,988140.0,1120536,390067,89682,792324,24434,190800,51576,361787,331166,1179437,6830193,0.0003508451360782,2.3185478335960226,0.0001513210687286,200,Massachusetts,647136.0,15821.0,5900493.0,297186.0
2019,25,387522,310593,119425,132716,222946,132388,42988,47712,,4815.0,3341.0,94163.0,180748.0,1166.0,124587.0,74391.0,913079.0,1046904,349386,78856,744828,24446,187351,35963,324846,313833,1082457,6850553,0.0003508451360782,2.3185478335960226,0.0001513210687286,200,Massachusetts,647136.0,15821.0,5900493.0,297186.0
2021,25,407044,318079,121452,125052,232280,147393,43791,42010,,3600.0,946.0,95887.0,128941.0,808.0,160829.0,254653.0,791437.0,1063590,373511,81518,770077,25039,179778,46796,333893,324485,1112616,6991852,0.0003508451360782,2.3185478335960226,0.0001513210687286,200,Massachusetts,647136.0,15821.0,5900493.0,297186.0
2018,26,864241,708297,305217,313541,387158,251288,115448,127877,,19231.0,5479.0,77063.0,713671.0,1518.0,57227.0,114883.0,2083995.0,2844660,228407,49290,2539543,35419,108890,155054,184871,643224,2429843,9957488,0.1019271069885781,17.054769819006005,0.0059764574995899,200,Michigan,2779376.0,112217.0,7104264.0,439751.0
2019,26,822549,670218,284833,309923,357142,239617,120835,119284,,20124.0,3708.0,72393.0,661111.0,860.0,55909.0,137726.0,1972570.0,2697788,226613,43622,2429463,34354,107971,154892,154099,608819,2315582,9965265,0.1019271069885781,17.054769819006005,0.0059764574995899,200,Michigan,2779376.0,112217.0,7104264.0,439751.0
2021,26,786593,666689,285407,311713,385993,263829,115684,110730,56.0,15287.0,4396.0,55384.0,656952.0,1447.0,73103.0,259805.0,1860208.0,2712358,214280,36337,2426746,33727,97430,170270,162128,591776,2334862,10062512,0.1019271069885781,17.054769819006005,0.0059764574995899,200,Michigan,2779376.0,112217.0,7104264.0,439751.0
2018,27,355503,303260,125817,145004,179337,118756,49403,56828,98.0,30478.0,3655.0,73517.0,191588.0,2005.0,53551.0,57434.0,921582.0,1195088,138820,70147,949679,25560,45328,119612,123582,255544,1078364,5527358,1.3499888492034384,25.53981147992244,0.052858215115045,200,Minnesota,1572725.0,38320.0,3731200.0,140284.0
2019,27,337714,262031,118051,131090,160197,106336,49782,53119,,27209.0,6060.0,82780.0,182848.0,,43249.0,57825.0,818349.0,1093839,124481,80538,853787,25622,29447,126183,102743,230490,987830,5563378,1.3499888492034384,25.53981147992244,0.052858215115045,200,Minnesota,1572725.0,38320.0,3731200.0,140284.0
2021,27,332545,275558,123551,130737,165740,112961,40642,47108,,18132.0,3088.0,72241.0,172657.0,668.0,53739.0,118285.0,790032.0,1104847,123995,70854,893177,21087,39705,101067,102952,249902,978940,5670472,1.3499888492034384,25.53981147992244,0.052858215115045,200,Minnesota,1572725.0,38320.0,3731200.0,140284.0
2018,30,87873,82639,31150,33707,41112,33328,10944,15103,,33842.0,1315.0,2446.0,2665.0,,3531.0,15158.0,276899.0,322016,13840,2953,298520,6986,11196,6047,10154,61183,274673,1041732,4.118322156820946,45.07979860954449,0.0913562678593909,200,Montana,534175.0,18429.0,455240.0,23009.0
2019,30,86687,76981,29978,29776,46189,31603,11019,14251,139.0,44077.0,416.0,3416.0,3151.0,386.0,3678.0,13716.0,257505.0,309525,16959,2229,293498,6211,4642,10067,9837,58370,268114,1050649,4.118322156820946,45.07979860954449,0.0913562678593909,200,Montana,534175.0,18429.0,455240.0,23009.0
2021,30,80348,77550,28863,32213,42851,36564,8128,10866,32.0,35952.0,1716.0,3596.0,659.0,409.0,5045.0,22438.0,247536.0,298958,18425,4254,280748,5785,8896,9045,8655,65404,251979,1077978,4.118322156820946,45.07979860954449,0.0913562678593909,200,Montana,534175.0,18429.0,455240.0,23009.0
2018,32,257801,231681,101902,107432,100563,79094,38937,41477,231.0,16447.0,4429.0,55898.0,122223.0,3710.0,183088.0,52496.0,520365.0,568144,390743,54460,484176,5458,26499,24904,363390,165622,793265,2922849,0.548250003421254,29.93966852189237,0.0183118260985543,200,Nevada,234241.0,7774.0,2466310.0,123146.0
2019,32,253525,214224,103929,103532,100703,78956,34769,39646,,11734.0,1189.0,60908.0,123532.0,7534.0,144386.0,45523.0,534478.0,558578,370706,54587,490770,5928,22815,17287,337897,153504,775780,2972382,0.548250003421254,29.93966852189237,0.0183118260985543,200,Nevada,234241.0,7774.0,2466310.0,123146.0
2021,32,264412,230510,104102,114320,110146,90885,36261,39458,272.0,15067.0,2188.0,64843.0,127671.0,10579.0,185228.0,205376.0,378870.0,602838,387256,75341,534927,4365,31535,12966,330960,158077,832017,3059238,0.548250003421254,29.93966852189237,0.0183118260985543,200,Nevada,234241.0,7774.0,2466310.0,123146.0
2018,33,74469,55706,22832,21891,41506,29224,8927,10003,,367.0,185.0,8319.0,8170.0,393.0,3711.0,8028.0,235385.0,245931,18627,3859,225445,2593,14821,3038,14802,62007,202551,1343622,,2.683566606943992,,200,New Hampshire,594289.0,14133.0,722181.0,23926.0
2019,33,74809,53880,20921,19736,41294,27726,7970,7136,,233.0,64.0,8054.0,6441.0,529.0,4431.0,4530.0,229190.0,234242,19230,5775,207131,2755,12307,5035,20469,60362,193110,1348124,,2.683566606943992,,200,New Hampshire,594289.0,14133.0,722181.0,23926.0
2021,33,61419,46724,18832,22189,44372,28282,6635,8185,,179.0,63.0,6385.0,3901.0,,3105.0,17248.0,205757.0,223718,12920,3342,201508,3587,15678,1011,11512,54852,181786,1372175,,2.683566606943992,,200,New Hampshire,594289.0,14133.0,722181.0,23926.0
2018,37,963420,762823,344732,368823,416550,269713,133940,139038,229.0,51739.0,7624.0,84549.0,1004596.0,3956.0,213144.0,117227.0,1915975.0,2833743,565296,63974,2632920,20743,75323,35500,570579,628547,2770492,10155624,0.7065718674672212,12.782192015464457,0.0552778323633676,200,North Carolina,3740367.0,204836.0,5795116.0,310741.0
2019,37,924946,734126,341609,346921,412730,264815,124623,136929,89.0,48737.0,15065.0,69871.0,970722.0,3722.0,187221.0,117859.0,1873413.0,2764348,522351,60844,2569922,27655,61536,42722,524020,620665,2666034,10264876,0.7065718674672212,12.782192015464457,0.0552778323633676,200,North Carolina,3740367.0,204836.0,5795116.0,310741.0
2021,37,885899,711860,319944,348169,431844,286713,122051,127547,679.0,47933.0,6379.0,67020.0,887281.0,2247.0,272391.0,335877.0,1614220.0,2704192,529835,63416,2526863,21808,60777,33807,527356,628103,2605924,10367022,0.7065718674672212,12.782192015464457,0.0552778323633676,200,North Carolina,3740367.0,204836.0,5795116.0,310741.0
2018,38,48802,49047,15169,15199,24750,14659,6950,9072,,15697.0,1956.0,4058.0,13715.0,25.0,3508.0,7282.0,137407.0,172652,10996,1212,147963,2444,8317,13317,10395,29342,154306,752201,1.0350335677135007,21.839796565345527,0.0473920883198998,200,North Dakota,284613.0,7351.0,387978.0,14390.0
2019,38,50701,47765,20505,14421,21861,13644,6439,8420,,20036.0,2240.0,5061.0,10046.0,351.0,1713.0,6786.0,137523.0,170281,13475,1212,161705,2388,8611,3364,6476,33622,150134,756717,1.0350335677135007,21.839796565345527,0.0473920883198998,200,North Dakota,284613.0,7351.0,387978.0,14390.0
2021,38,45551,52199,17231,16812,23974,17292,6677,7117,,15662.0,1268.0,2845.0,11429.0,60.0,3239.0,15723.0,136627.0,175217,11636,1720,151700,2053,8375,8894,14111,37996,148857,773344,1.0350335677135007,21.839796565345527,0.0473920883198998,200,North Dakota,284613.0,7351.0,387978.0,14390.0
2018,41,342695,296075,108819,118973,152540,106475,43926,43682,722.0,15248.0,3111.0,45474.0,32897.0,4629.0,59812.0,70309.0,980983.0,964220,248965,46439,863050,22311,36106,22329,222950,250394,962791,4081943,0.4184957453016996,28.178454318036643,0.0148516217596018,200,Oregon,929913.0,59138.0,2901161.0,207861.0
2019,41,322402,287353,106432,103466,147075,103961,35203,38166,73.0,13690.0,3205.0,48261.0,36751.0,3461.0,66166.0,64574.0,907877.0,915314,228744,42866,834091,21967,33312,17883,193939,255359,888699,4129803,0.4184957453016996,28.178454318036643,0.0148516217596018,200,Oregon,929913.0,59138.0,2901161.0,207861.0
2021,41,330945,292291,104238,118546,162864,114694,33718,36056,379.0,16662.0,4059.0,44109.0,34345.0,10522.0,100856.0,162896.0,819524.0,952723,240629,50872,856242,22333,47449,15288,201168,266734,926618,4207177,0.4184957453016996,28.178454318036643,0.0148516217596018,200,Oregon,929913.0,59138.0,2901161.0,207861.0
2018,42,956397,755379,325848,341356,515627,319806,130171,132097,,5269.0,3765.0,138128.0,632331.0,700.0,171414.0,133426.0,2391648.0,3000955,475726,111249,2631835,41952,202946,60498,428201,793017,2683664,12791181,1.64409688809492e-07,12.53583770321049,1.3115173688582922e-08,200,Pennsylvania,3218445.0,112946.0,9483934.0,550520.0
2019,42,929211,717133,336568,339691,503382,308045,121437,138355,197.0,8004.0,5755.0,119897.0,666523.0,1900.0,189168.0,141036.0,2261342.0,2887845,505977,88006,2568858,44049,195001,63906,434002,795601,2598221,12791530,1.64409688809492e-07,12.53583770321049,1.3115173688582922e-08,200,Pennsylvania,3218445.0,112946.0,9483934.0,550520.0
2021,42,874659,702026,333780,341264,517470,333466,121232,124489,110.0,6871.0,3020.0,112025.0,568837.0,2334.0,255038.0,336885.0,2063266.0,2854570,493816,90754,2547518,46422,173331,74102,416259,769535,2578851,12970650,1.64409688809492e-07,12.53583770321049,1.3115173688582922e-08,200,Pennsylvania,3218445.0,112946.0,9483934.0,550520.0
2018,51,589722,464581,195852,201245,252875,160834,81174,81967,545.0,4077.0,978.0,98724.0,560743.0,1863.0,96473.0,95349.0,1169498.0,1744121,284129,65535,1507594,13142,85191,71757,285031,369468,1658782,8413774,0.0330744297762131,10.685778693130755,0.0030951819915075,200,Virginia,2159846.0,84401.0,5841178.0,187318.0
2019,51,550116,443588,195501,203129,236911,156363,70308,81134,119.0,3114.0,400.0,96532.0,554734.0,693.0,97413.0,87534.0,1096511.0,1661192,275858,70010,1432738,15336,80459,64488,274019,368396,1568654,8454463,0.0330744297762131,10.685778693130755,0.0030951819915075,200,Virginia,2159846.0,84401.0,5841178.0,187318.0
2021,51,550900,443037,189106,213772,254973,171077,72308,75261,94.0,7385.0,5137.0,91127.0,533400.0,2715.0,136165.0,212027.0,982384.0,1696426,274008,63627,1470312,12698,82642,73475,267680,375137,1595297,8582479,0.0330744297762131,10.685778693130755,0.0030951819915075,200,Virginia,2159846.0,84401.0,5841178.0,187318.0
2018,53,525718,452443,184558,183980,202504,132673,74719,79037,1197.0,32886.0,4644.0,135023.0,107078.0,15171.0,152400.0,124871.0,1262362.0,1431339,404293,130097,1174014,26787,101042,58491,345201,339565,1496067,7294336,1.6724816053646216,20.899636055609196,0.080024436832992,200,Washington,1372824.0,62174.0,5351716.0,288437.0
2019,53,486876,411913,169890,184549,211838,145594,66619,73250,1194.0,35980.0,5431.0,103265.0,108266.0,12578.0,147931.0,121096.0,1214788.0,1352621,397908,108872,1120330,28985,77006,60602,354734,343275,1407254,7404107,1.6724816053646216,20.899636055609196,0.080024436832992,200,Washington,1372824.0,62174.0,5351716.0,288437.0
2021,53,481427,408750,179741,180406,209593,155617,61509,63233,2985.0,25759.0,7132.0,122731.0,104989.0,12400.0,182230.0,277929.0,1004121.0,1326028,414248,110631,1092368,26250,90085,63129,357813,348345,1391931,7617364,1.6724816053646216,20.899636055609196,0.080024436832992,200,Washington,1372824.0,62174.0,5351716.0,288437.0
2018,54,189287,152553,56351,66772,95752,68545,24669,23184,,324.0,302.0,4445.0,36112.0,324.0,4737.0,17143.0,613726.0,666719,10394,4860,643482,3613,6584,3025,15549,177961,499152,1829054,,6.493879726220489,,200,West Virginia,1073935.0,69717.0,779059.0,52226.0
2019,54,178626,147467,59404,58024,92040,63797,23741,22159,,2290.0,320.0,4565.0,27868.0,,1685.0,18486.0,590044.0,635915,9343,3790,620102,3828,5913,4460,7165,174645,470613,1817305,,6.493879726220489,,200,West Virginia,1073935.0,69717.0,779059.0,52226.0
2021,54,175835,152004,57171,54836,91765,62213,19748,21418,,428.0,411.0,3422.0,22516.0,511.0,3662.0,38391.0,565649.0,625200,9790,4028,612483,2330,5127,4598,6424,165704,469286,1801049,,6.493879726220489,,200,West Virginia,1073935.0,69717.0,779059.0,52226.0
2018,55,411866,328953,143133,158746,213516,136308,61405,61553,100.0,19090.0,1858.0,54818.0,207748.0,371.0,55363.0,51997.0,1124135.0,1341318,174162,37787,1240408,15533,45237,14910,161605,285172,1230308,5778394,0.3036781709638796,16.490074258070926,0.018415815854513,200,Wisconsin,1934167.0,63204.0,3752819.0,206427.0
2019,55,395522,300565,141086,143844,187694,122148,57103,57614,137.0,17142.0,2339.0,42274.0,192684.0,826.0,66177.0,48901.0,1035096.0,1225295,180281,33542,1133904,17846,47258,14805,158221,276827,1128749,5790716,0.3036781709638796,16.490074258070926,0.018415815854513,200,Wisconsin,1934167.0,63204.0,3752819.0,206427.0
2021,55,384948,297603,142835,149158,204711,145861,47870,54466,,14461.0,2772.0,49034.0,189904.0,448.0,58660.0,154232.0,957941.0,1240976,186476,42783,1150800,15961,48364,13730,155814,274129,1153323,5871661,0.3036781709638796,16.490074258070926,0.018415815854513,200,Wisconsin,1934167.0,63204.0,3752819.0,206427.0
2018,17,811460,613197,288817,321338,330411,210119,121368,119904,585.0,5893.0,2392.0,134749.0,663488.0,2347.0,260820.0,92192.0,1654148.0,2087040,729574,90723,1768706,32498,156632,69227,698828,491110,2325504,12821497,,15.408210633680492,,165,Illinois,1949404.0,69336.0,10881228.0,561692.0
2019,17,749843,570802,299162,290791,306631,196722,113797,114451,,3686.0,5054.0,124589.0,669132.0,1141.0,223042.0,88481.0,1527074.0,1991683,650516,79243,1712821,31180,134527,74723,609705,474853,2167346,12770631,,15.408210633680492,,165,Illinois,1949404.0,69336.0,10881228.0,561692.0
2021,17,747704,582211,287333,293192,331232,228902,95344,105891,1011.0,19964.0,5903.0,118381.0,642232.0,2098.0,291436.0,352517.0,1238267.0,2020249,651560,76390,1753909,30846,157876,54462,598326,498517,2173292,12821813,,15.408210633680492,,165,Illinois,1949404.0,69336.0,10881228.0,561692.0
2018,31,122521,98396,46019,47805,47688,32832,18283,19869,,6554.0,931.0,12187.0,26134.0,233.0,26049.0,24422.0,336903.0,338581,94832,12271,328368,3688,8575,6787,73724,80590,352823,1904760,0.1945204834506191,21.61445600809001,0.0089995548987128,165,Nebraska,534319.0,13339.0,1292022.0,51898.0
2019,31,108755,81342,39647,43152,49082,30326,15451,18584,,7975.0,710.0,11156.0,36363.0,846.0,12792.0,16313.0,300184.0,315709,70630,7708,284695,3230,14846,16034,59826,72215,314124,1914571,0.1945204834506191,21.61445600809001,0.0089995548987128,165,Nebraska,534319.0,13339.0,1292022.0,51898.0
2021,31,105139,89667,39818,47372,51344,32071,15025,17839,,6936.0,870.0,12949.0,26220.0,36.0,27763.0,56163.0,267338.0,320863,77412,9055,298300,3515,15749,6882,64774,82050,316225,1951480,0.1945204834506191,21.61445600809001,0.0089995548987128,165,Nebraska,534319.0,13339.0,1292022.0,51898.0
2018,35,202078,167297,69432,83324,80343,59338,28509,28620,,109032.0,2666.0,7292.0,17412.0,1031.0,57480.0,22921.0,501107.0,295128,423813,4022,297150,5915,7332,89569,314953,142524,576417,2092434,3.1275411958803336,30.892917107084106,0.1012381312208018,165,New Mexico,583670.0,34341.0,1475509.0,96624.0
2019,35,171681,137619,66723,66593,83952,54864,24940,24357,57.0,81948.0,3126.0,8069.0,13823.0,625.0,75883.0,24157.0,423041.0,272169,358560,5305,278140,5708,7825,63425,270326,136243,494486,2092454,3.1275411958803336,30.892917107084106,0.1012381312208018,165,New Mexico,583670.0,34341.0,1475509.0,96624.0
2021,35,190340,153718,69286,74201,77274,59480,24300,25413,295.0,94364.0,2202.0,6414.0,18050.0,382.0,113992.0,199291.0,239022.0,289652,384360,6071,319666,4982,6372,73380,263541,140407,533605,2109366,3.1275411958803336,30.892917107084106,0.1012381312208018,165,New Mexico,583670.0,34341.0,1475509.0,96624.0
2018,48,2210316,1699608,961265,995785,690653,469726,386183,402890,440.0,29584.0,16561.0,266045.0,1163891.0,6152.0,704926.0,194784.0,5434043.0,3417644,4398782,211675,3234108,44291,157609,141822,4026921,1183717,6632709,27885195,0.0061635373294439,65.32767064870832,9.43480345807472e-05,165,Texas,5099272.0,202002.0,20046289.0,965723.0
2019,48,2085772,1571978,896647,953568,679265,452476,366288,371288,98.0,25383.0,13050.0,245808.0,1137133.0,7690.0,635944.0,216297.0,5095879.0,3313170,4064112,183083,3173664,43643,160640,124964,3691288,1150790,6226492,28260856,0.0061635373294439,65.32767064870832,9.43480345807472e-05,165,Texas,5099272.0,202002.0,20046289.0,965723.0
2021,48,2101898,1655130,910473,960659,721908,523183,324034,354628,514.0,44508.0,18676.0,246145.0,1127217.0,5329.0,1137050.0,2311055.0,2661419.0,3352037,4199876,181576,3260628,41962,167051,152060,3748636,1230859,6321054,28862581,0.0061635373294439,65.32767064870832,9.43480345807472e-05,165,Texas,5099272.0,202002.0,20046289.0,965723.0
2018,19,182001,145149,62482,68532,82357,46729,23971,29293,,1177.0,1471.0,19575.0,53950.0,2799.0,9753.0,28239.0,523550.0,576725,63789,21078,515057,9049,24904,10837,59589,124018,516496,3132499,0.0049207280835808,15.857238832669452,0.0003103143072703,160,Iowa,1197574.0,35839.0,1848781.0,98286.0
2019,19,187978,138890,54726,66125,79507,45727,24084,25084,,4255.0,393.0,15802.0,59337.0,625.0,9635.0,19807.0,512267.0,559204,62917,13014,505076,9595,17223,21524,55689,128730,493391,3139508,0.0049207280835808,15.857238832669452,0.0003103143072703,160,Iowa,1197574.0,35839.0,1848781.0,98286.0
2021,19,167181,132563,58262,68892,87376,59024,22208,24484,,4332.0,1539.0,16406.0,48130.0,2513.0,21510.0,61216.0,464344.0,551406,68584,16580,501854,8350,13548,23615,56043,134448,485542,3179090,0.0049207280835808,15.857238832669452,0.0003103143072703,160,Iowa,1197574.0,35839.0,1848781.0,98286.0
2018,36,1174599,905306,419479,425782,558539,322543,174384,166453,264.0,20001.0,8173.0,393098.0,897346.0,1893.0,625826.0,174566.0,2025918.0,2919338,1227747,265170,1997370,100510,512697,146897,1124441,798284,3348801,19618453,0.1819547793735055,14.006968575208106,0.0129903039616694,150,New York,2700456.0,100878.0,16677646.0,993899.0
2019,36,1053734,813597,362345,390513,539586,328979,145213,165034,36.0,15147.0,6581.0,377692.0,847068.0,2738.0,524595.0,154797.0,1870347.0,2750779,1048222,268247,1863803,106405,478280,122880,959386,789496,3009505,19572319,0.1819547793735055,14.006968575208106,0.0129903039616694,150,New York,2700456.0,100878.0,16677646.0,993899.0
2021,36,1155210,919387,412812,418184,577225,368988,155574,158059,336.0,32159.0,13097.0,404896.0,804858.0,4313.0,705492.0,513793.0,1686495.0,2947288,1218151,278907,2068213,103509,521524,131538,1061748,824161,3341278,20114745,0.1819547793735055,14.006968575208106,0.0129903039616694,150,New York,2700456.0,100878.0,16677646.0,993899.0
